,Sim time,Event
357,31.088398002694497,There occurs 2 demands. 0 overdue inventories are discarded.
358,31.14799068030131,There occurs 2 demands. 0 overdue inventories are discarded.
359,31.169547665916063,There occurs 2 demands. 0 overdue inventories are discarded.
360,31.218933984637925,There occurs 2 demands. 0 overdue inventories are discarded.
361,31.310035965698436,There occurs 3 demands. 0 overdue inventories are discarded.
362,31.470277127862506,There occurs 3 demands. 0 overdue inventories are discarded.
363,31.527012419272854,There occurs 1 demands. 0 overdue inventories are discarded.
364,31.733394705183187,26 goods have arrived.
365,31.90718305977752,There occurs 2 demands. 0 overdue inventories are discarded.
366,32.0,There occurs 3 demands. 0 overdue inventories are discarded.
367,32.03578983871202,Order 26 goods.
368,32.10203851727418,There occurs 3 demands. 0 overdue inventories are discarded.
369,32.12961690276941,There occurs 3 demands. 0 overdue inventories are discarded.
370,32.28131627832068,There occurs 3 demands. 0 overdue inventories are discarded.
371,32.56714935714223,There occurs 3 demands. 0 overdue inventories are discarded.
372,32.65760502832037,There occurs 2 demands. 0 overdue inventories are discarded.
373,32.81209461544201,There occurs 2 demands. 0 overdue inventories are discarded.
374,32.83753253830667,There occurs 2 demands. 0 overdue inventories are discarded.
375,32.8568457890864,There occurs 3 demands. 0 overdue inventories are discarded.
376,33.0,There occurs 4 demands. 0 overdue inventories are discarded.
377,33.00831207445995,Order 45 goods.
378,33.10282188416746,There occurs 2 demands. 0 overdue inventories are discarded.
379,33.15973135429932,There occurs 3 demands. 0 overdue inventories are discarded.
380,33.21212951713814,There occurs 2 demands. 0 overdue inventories are discarded.
381,33.288403693008895,There occurs 1 demands. 0 overdue inventories are discarded.
382,33.303981481198846,There occurs 3 demands. 0 overdue inventories are discarded.
383,33.42465999374506,There occurs 3 demands. 0 overdue inventories are discarded.
384,33.44190314122069,There occurs 3 demands. 0 overdue inventories are discarded.
385,33.786813113220724,There occurs 2 demands. 0 overdue inventories are discarded.
386,33.87474885746432,There occurs 1 demands. 0 overdue inventories are discarded.
387,33.88911269913227,There occurs 1 demands. 0 overdue inventories are discarded.
388,33.91990173196187,There occurs 3 demands. 0 overdue inventories are discarded.
389,33.92727882386805,45 goods have arrived.
390,33.97371464369938,There occurs 3 demands. 0 overdue inventories are discarded.
391,34.0,There occurs 3 demands. 0 overdue inventories are discarded.
392,34.01960863123894,Order 30 goods.
393,34.04678973038706,There occurs 2 demands. 0 overdue inventories are discarded.
394,34.15749303391062,There occurs 1 demands. 0 overdue inventories are discarded.
395,34.163064491131074,There occurs 3 demands. 0 overdue inventories are discarded.
396,34.219308898663485,There occurs 3 demands. 0 overdue inventories are discarded.
397,34.4157680908104,There occurs 2 demands. 0 overdue inventories are discarded.
398,34.50370770937328,There occurs 4 demands. 0 overdue inventories are discarded.
399,34.564307986290004,There occurs 1 demands. 0 overdue inventories are discarded.
400,34.607286721597724,There occurs 3 demands. 0 overdue inventories are discarded.
401,34.7093239049139,There occurs 2 demands. 0 overdue inventories are discarded.
402,34.71125002928531,There occurs 2 demands. 0 overdue inventories are discarded.
403,34.74524799502195,There occurs 1 demands. 0 overdue inventories are discarded.
404,34.75219766787847,There occurs 2 demands. 0 overdue inventories are discarded.
405,34.77449900628205,There occurs 3 demands. 0 overdue inventories are discarded.
406,34.815645519339455,30 goods have arrived.
407,34.90609035758301,There occurs 1 demands. 0 overdue inventories are discarded.
408,34.9373723115081,There occurs 3 demands. 0 overdue inventories are discarded.
409,35.0,There occurs 2 demands. 0 overdue inventories are discarded.
410,35.291583257395544,Order 35 goods.
411,35.31067657279135,There occurs 2 demands. 0 overdue inventories are discarded.
412,35.398664888098786,There occurs 2 demands. 0 overdue inventories are discarded.
413,35.54127570198535,There occurs 3 demands. 0 overdue inventories are discarded.
414,35.656872258202114,There occurs 2 demands. 0 overdue inventories are discarded.
415,35.73885497242821,There occurs 2 demands. 0 overdue inventories are discarded.
416,35.75637890031547,35 goods have arrived.
417,35.77265227342907,There occurs 1 demands. 0 overdue inventories are discarded.
418,35.816175255140244,There occurs 2 demands. 0 overdue inventories are discarded.
419,35.83064275875667,There occurs 3 demands. 0 overdue inventories are discarded.
420,36.0,There occurs 2 demands. 0 overdue inventories are discarded.
421,36.024499962032124,Order 35 goods.
422,36.11889661982273,There occurs 3 demands. 0 overdue inventories are discarded.
423,36.17625842845723,There occurs 2 demands. 0 overdue inventories are discarded.
424,36.32227418458102,There occurs 2 demands. 0 overdue inventories are discarded.
425,36.42353762804737,There occurs 1 demands. 0 overdue inventories are discarded.
426,36.61263605808161,There occurs 2 demands. 0 overdue inventories are discarded.
427,36.85436601856158,There occurs 2 demands. 0 overdue inventories are discarded.
428,37.0,There occurs 3 demands. 0 overdue inventories are discarded.
